date,entry,exit,pnl
2025-02-26 09:30:00-05:00,244.78,243.41,-13.7
2025-03-04 10:00:00-05:00,241.2,239.09,-21.1
2025-03-10 10:00:00-04:00,236.95,226.19,-107.6
2025-03-18 14:00:00-04:00,213.38,212.22,-11.6
2025-03-20 14:00:00-04:00,217.14,212.37,-47.7
2025-03-26 14:00:00-04:00,218.36,221.58,32.2
2025-03-28 11:00:00-04:00,224.11,219.53,-45.8
