timestamp,close,volume
2025-01-21 05:00:00,42.54,16398152.0
2025-01-22 05:00:00,42.57,16894933.0
2025-01-23 05:00:00,42.67,15212765.0
2025-01-24 05:00:00,42.95,20962770.0
2025-01-27 05:00:00,42.17,25964225.0
2025-01-28 05:00:00,42.48,22188231.0
2025-01-29 05:00:00,42.49,24922391.0
2025-01-30 05:00:00,43.21,30403374.0
2025-01-31 05:00:00,42.72,29988413.0
2025-02-03 05:00:00,42.41,37505721.0
2025-02-04 05:00:00,43.17,26992857.0
2025-02-05 05:00:00,43.06,21809247.0
2025-02-06 05:00:00,43.24,19365681.0
2025-02-07 05:00:00,43.2,32804389.0
2025-02-10 05:00:00,43.72,19596704.0
2025-02-11 05:00:00,43.55,19436768.0
2025-02-12 05:00:00,43.79,19985964.0
2025-02-13 05:00:00,44.07,22840972.0
2025-02-14 05:00:00,44.41,24329380.0
2025-02-18 05:00:00,44.69,22993636.0
2025-02-19 05:00:00,44.62,20275247.0
2025-02-20 05:00:00,45.03,29210497.0
2025-02-21 05:00:00,44.9,33974725.0
2025-02-24 05:00:00,44.21,38306964.0
2025-02-25 05:00:00,44.24,19955547.0
2025-02-26 05:00:00,44.68,24945980.0
2025-02-27 05:00:00,43.81,30518894.0
2025-02-28 05:00:00,43.21,52390337.0
2025-03-03 05:00:00,42.83,45419736.0
2025-03-04 05:00:00,43.19,30082445.0
2025-03-05 05:00:00,44.48,47763449.0
2025-03-06 05:00:00,44.2,33544539.0
2025-03-07 05:00:00,44.42,23474495.0
2025-03-10 04:00:00,43.36,29502637.0
2025-03-11 04:00:00,43.72,21184081.0
2025-03-12 04:00:00,43.96,17706649.0
2025-03-13 04:00:00,43.78,17870354.0
2025-03-14 04:00:00,44.58,21858446.0
2025-03-17 04:00:00,45.34,37672443.0
2025-03-18 04:00:00,45.11,19974226.0
2025-03-19 04:00:00,45.22,31172452.0
2025-03-20 04:00:00,44.8,25180928.0
2025-03-21 04:00:00,44.58,19403829.0
2025-03-24 04:00:00,44.78,20402983.0
2025-03-25 04:00:00,44.65,29535910.0
2025-03-26 04:00:00,44.38,22050037.0
2025-03-27 04:00:00,44.6,15749099.0
2025-03-28 04:00:00,43.77,27866493.0
2025-03-31 04:00:00,43.7,25596315.0
2025-04-01 04:00:00,43.84,21263331.0
2025-04-02 04:00:00,43.9,18018123.0
2025-04-03 04:00:00,42.97,26997523.0
2025-04-04 04:00:00,40.58,75852969.0
2025-04-07 04:00:00,39.07,87724876.0
2025-04-08 04:00:00,38.52,57879101.0
2025-04-09 04:00:00,41.19,71060624.0
2025-04-10 04:00:00,40.48,44475853.0
2025-04-11 04:00:00,41.75,43819004.0
2025-04-14 04:00:00,42.13,22549557.0
2025-04-15 04:00:00,42.09,18077533.0
2025-04-16 04:00:00,41.6,19984742.0
2025-04-17 04:00:00,41.92,23264393.0
